-0.12	-0.81	-6.80
-0.81	-0.41	5.20
-0.41	0.32	-3.21
0.32	-0.20	-4.48
-0.20	-0.27	26.30
-0.27	1.61	6.72
1.61	0.41	-6.54
0.41	-0.39	-14.16
-0.39	-0.85	9.55
-0.85	0.58	-6.29
0.58	-0.38	9.77
-0.38	0.59	5.49
0.59	0.33	24.07
0.33	1.45	8.77
1.45	0.52	-4.69
0.52	-0.28	1.95
-0.28	0.12	6.06
0.12	0.36	-6.57
0.36	-0.39	6.46
-0.39	0.38	9.77
0.38	0.58	2.53
0.58	0.15	-2.80
0.15	-0.16	-21.14
-0.16	-1.24	0.23
-1.24	0.01	-0.63
0.01	-0.04	6.32
-0.04	0.38	-1.40
0.38	-0.08	-4.31
-0.08	-0.25	6.45
-0.25	0.38	3.14
0.38	0.19	-3.44
0.19	-0.20	-2.72
-0.20	-0.16	-8.46
-0.16	-0.50	-4.65
-0.50	-0.28	6.24
-0.28	0.37	-2.31
0.37	-0.14	-5.17
-0.14	-0.31	-22.40
-0.31	-1.34	-0.30
-1.34	-0.02	-11.86
-0.02	-0.72	-8.57
-0.72	-0.52	-16.48
-0.52	-1.01	-1.33
-1.01	-0.08	0.88
-0.08	0.05	-8.68
0.05	-0.54	6.92
-0.54	0.43	-9.94
0.43	-0.62	-15.23
-0.62	-0.95	-14.94
-0.95	-0.94	19.34
-0.94	1.23	-4.24
1.23	-0.27	40.74
-0.27	2.57	22.88
2.57	1.40	-12.77
1.40	-0.77	-12.31
-0.77	-0.75	9.63
-0.75	0.59	-23.84
0.59	-1.46	13.61
-1.46	0.84	16.68
0.84	1.03	0.57
1.03	0.03	-20.82
0.03	-1.27	-13.66
-1.27	-0.84	22.48
-0.84	1.40	9.04
1.40	0.55	-9.68
0.55	-0.59	23.67
-0.59	1.45	-6.05
1.45	-0.37	11.70
-0.37	0.71	-10.46
0.71	-0.63	0.91
-0.63	0.06	4.84
0.06	0.29	13.81
0.29	0.83	-2.87
0.83	-0.17	1.18
-0.17	0.07	-17.00
0.07	-1.02	8.31
-1.02	0.50	-8.44
0.50	-0.51	-16.57
-0.51	-1.00	-0.07
-1.00	-0.00	-7.03
-0.00	-0.43	6.02
-0.43	0.37	-6.73
0.37	-0.41	-8.46
